model,region,variable,unit,year,Historical Reference,SSP1,SSP2,SSP3,SSP4,SSP5,all_equal,all_ssps_equal,hist_ssp2_equal,max_diff
OECD ENV-Growth 2025,Montenegro,GDP|PPP [per capita],USD_2017/yr,2025,23494.69750576965,22774.00535577659,23494.69750576965,22774.00535577659,22774.00535577659,22774.00535577659,FALSE,FALSE,TRUE,720.6921499930613
OECD ENV-Growth 2025,Morocco,GDP|PPP [per capita],USD_2017/yr,2025,8761.717615636431,8761.717615636431,8761.717615636431,8761.717615636431,8761.717615636431,8761.717615636431,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Mozambique,GDP|PPP [per capita],USD_2017/yr,2025,1379.320716415443,1379.320716415443,1379.320716415443,1379.320716415443,1379.320716415443,1379.320716415443,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Myanmar,GDP|PPP [per capita],USD_2017/yr,2025,4345.314459289043,4345.314459289043,4345.314459289043,4345.314459289043,4345.314459289043,4345.314459289043,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Namibia,GDP|PPP [per capita],USD_2017/yr,2025,9861.936766800332,9861.936766800332,9861.936766800332,9861.936766800332,9861.936766800332,9861.936766800332,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Nepal,GDP|PPP [per capita],USD_2017/yr,2025,4446.650406897791,4446.650406897791,4446.650406897791,4446.650406897791,4446.650406897791,4446.650406897791,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Netherlands,GDP|PPP [per capita],USD_2017/yr,2025,57671.5057739471,57485.03958095067,57671.5057739471,57485.03958095067,57485.03958095067,57485.03958095067,FALSE,FALSE,TRUE,186.4661929964277
OECD ENV-Growth 2025,New Caledonia,GDP|PPP [per capita],USD_2017/yr,2025,39785.2696159514,39879.83652956135,39785.2696159514,40020.5173445076,39551.02436351121,39412.01434209163,FALSE,FALSE,TRUE,608.5030024159714
OECD ENV-Growth 2025,New Zealand,GDP|PPP [per capita],USD_2017/yr,2025,43112.4733494006,43112.4733494006,43112.4733494006,43112.4733494006,43112.4733494006,43112.4733494006,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Nicaragua,GDP|PPP [per capita],USD_2017/yr,2025,6220.451900365072,6220.451900365072,6220.451900365072,6220.451900365072,6220.451900365072,6220.451900365072,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Niger,GDP|PPP [per capita],USD_2017/yr,2025,1439.038965066739,1439.038965066739,1439.038965066739,1439.038965066739,1439.038965066739,1439.038965066739,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Nigeria,GDP|PPP [per capita],USD_2017/yr,2025,5105.142114796926,5105.142114796926,5105.142114796926,5105.142114796926,5105.142114796926,5105.142114796926,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,North America (R10),GDP|PPP [per capita],USD_2017/yr,2025,63885.03156966357,63859.69388769001,63885.03156966357,63860.07062370972,63859.73155866683,63859.00908971006,FALSE,FALSE,TRUE,26.02247995351354
OECD ENV-Growth 2025,North Korea,GDP|PPP [per capita],USD_2017/yr,2025,2227.812560608999,2240.199524825446,2227.812560608999,2221.077385570209,2212.819409425912,2245.802069191233,FALSE,FALSE,TRUE,32.98265976532093
OECD ENV-Growth 2025,North Macedonia,GDP|PPP [per capita],USD_2017/yr,2025,18342.78725502874,18318.66078462116,18342.78725502874,18318.66078462116,18318.66078462116,18318.66078462116,FALSE,FALSE,TRUE,24.1264704075802
OECD ENV-Growth 2025,Norway,GDP|PPP [per capita],USD_2017/yr,2025,66369.39674437857,66128.73893102696,66369.39674437857,66128.73893102696,66128.73893102696,66128.73893102696,FALSE,FALSE,TRUE,240.65781335160136
OECD ENV-Growth 2025,OECD & EU (R5),GDP|PPP [per capita],USD_2017/yr,2025,50455.46416605144,50288.59595624861,50455.46416605144,50288.71803885946,50288.60816365901,50288.37404509351,FALSE,FALSE,TRUE,167.0901209579315
